event_id,event_name,start_date_time,end_date_time,event_agency,event_type,event_borough,event_location,street_closure_type,community_board,police_precinct,event_street_side,event_date
330038,North Central Bronx Farmer's Market,2017-11-15 08:00:00,2017-11-15 16:00:00,Parks Department,Special Event,Bronx,Mosholu Parkway: Mosholu Parkway ,N/A,"7, ","52, ",,2017-11-15
374903,Celebrating Science Benefit,2017-11-15 17:30:00,2017-11-15 21:00:00,Street Activity Permit Office,Street Event,Manhattan, YORK AVENUE between EAST   64 STREET and EAST   66 STREET,Curb Lane Only,"8, ","19, ",East,2017-11-15
368882,Lawn Closure due to COnstruction,2017-11-22 00:00:00,2017-11-22 23:00:00,Parks Department,Construction,Manhattan,Inwood Hill Park: Behind Nature Center Lawn ,N/A,"12, ","34, ",,2017-11-22
320105,St. Anthony Flea Market,2017-11-18 09:00:00,2017-11-18 18:00:00,Street Activity Permit Office,Sidewalk Sale,Manhattan, WEST HOUSTON STREET between THOMPSON STREET and MACDOUGAL STREET,Sidewalk and Curb Lane Closure ,"2, ","1, 6, ",South,2017-11-18
320618,Athletic Event Non Sports ,2017-11-09 07:30:00,2017-11-09 08:30:00,Parks Department,Special Event,Manhattan,"Fort Tryon Park: Margaret Corbin Circle ,Fort Tryon Park: Heather Garden ,Fort Tryon Park: Fort Tryon Park ",N/A,"12, ","34, ",,2017-11-09
351520,South Village  Farmer's Market,2017-11-10 11:00:00,2017-11-10 16:00:00,Street Activity Permit Office,Farmers Market,Manhattan, AVENUE OF THE AMERICAS between CARMINE STREET and WEST    3 STREET,Partial Sidewalk Closure ,"2, ","6, ",West,2017-11-10
364146,Miscellaneous,2017-11-12 08:00:00,2017-11-12 18:00:00,Parks Department,Construction,Manhattan,"Central Park: North Meadow-Soccer-01 ,Central Park: North Meadow-Soccer-02 ,Central Park: North Meadow-Soccer-03 ,Central Park: North Meadow-Soccer-04 ,Central Park: North Meadow-Soccer-05 ,Central Park: North Meadow-Soccer-06 ,Morningside Park: Softball-01 ,Morningside Park: Softball-02 ",N/A,"09, 64, ","22, 26, ",,2017-11-12
379046,Union Square Holiday market,2017-11-20 00:00:00,2017-11-20 23:59:00,Parks Department,Special Event,Manhattan,Union Square Park: South Plaza ,N/A,"5, ","13, ",,2017-11-20
381182,"DIana Ross Plygrnd Lawn Winter Closure until April 7, 2018",2017-12-01 00:00:00,2017-12-01 23:59:00,Parks Department,Construction,Manhattan,Central Park: Diana Ross Playground Lawn ,N/A,"64, ","22, ",,2017-12-01
358456,USATF NY association championship,2017-11-12 09:00:00,2017-11-12 14:00:00,Parks Department,Special Event,Bronx,Van Cortlandt Park: Cross Country Parade Ground East Side 2 ,N/A,"26, ","50, ",,2017-11-12
